"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"894" 89 0 3 86 0
"904" 89 0 5 84 0
"917" 92 0 6 86 0
"924" 91 0 4 87 0
"934" 94 0 6 88 0
"944" 93 0 6 87 0
"954" 88 0 4 84 0
"964" 90 0 4 86 0
"974" 90 0 3 87 0
"984" 95 0 6 89 0
"994" 91 0 4 87 0
"1004" 90 0 2 88 0
"117" 91 0 5 86 0
"218" 92 0 6 86 0
"318" 87 0 3 84 0
"418" 93 0 5 88 0
"518" 90 0 3 87 0
"618" 91 0 3 88 0
"718" 89 0 3 86 0
"818" 89 0 4 85 0
"918" 89 0 4 85 0
"106" 88 0 4 84 0
"118" 88 0 2 86 0
"125" 90 0 4 86 0
"135" 88 0 1 87 0
"145" 96 0 7 89 0
"155" 88 0 5 83 0
"165" 90 0 5 85 0
"175" 88 0 4 84 0
"185" 91 0 4 87 0
"195" 90 0 6 84 0
"205" 90 0 7 83 0
"219" 90 0 8 82 0
"225" 89 0 5 84 0
"235" 89 0 4 85 0
"245" 89 0 4 85 0
"255" 88 0 5 83 0
"265" 92 0 5 87 0
"275" 89 0 5 84 0
"285" 91 0 4 87 0
"295" 89 0 5 84 0
"305" 93 0 7 86 0
"319" 89 0 2 87 0
"325" 90 0 2 88 0
"335" 87 0 3 84 0
"345" 88 0 5 83 0
"355" 96 0 8 88 0
"365" 88 0 5 83 0
"375" 88 0 3 85 0
"385" 88 0 2 86 0
"395" 95 0 9 86 0
"405" 89 0 4 85 0
"419" 93 0 4 89 0
"425" 89 0 5 84 0
"435" 93 0 5 88 0
"445" 90 0 6 84 0
"455" 90 0 5 85 0
"465" 90 0 5 85 0
"475" 92 0 5 87 0
"485" 92 0 7 85 0
"495" 88 0 6 82 0
"505" 92 0 5 87 0
"519" 89 0 4 85 0
"525" 89 0 3 86 0
"535" 91 0 4 87 0
"545" 93 0 7 86 0
"555" 90 0 5 85 0
"565" 88 0 3 85 0
"575" 91 0 6 85 0
"585" 87 0 3 84 0
"595" 96 0 9 87 0
"605" 88 0 5 83 0
"619" 92 0 6 86 0
"625" 93 0 6 87 0
"635" 87 0 3 84 0
"645" 88 0 5 83 0
"655" 91 0 5 86 0
"665" 93 0 6 87 0
"675" 97 0 7 90 0
"685" 90 0 6 84 0
"695" 88 0 3 85 0
"705" 89 0 3 86 0
"719" 89 0 3 86 0
"725" 90 0 2 88 0
"735" 91 0 7 84 0
"745" 90 0 4 86 0
"755" 92 0 3 89 0
"765" 89 0 4 85 0
"775" 88 0 3 85 0
"785" 87 0 3 84 0
"795" 87 0 3 84 0
"805" 90 0 3 87 0
"819" 92 0 4 88 0
"825" 92 0 6 86 0
"835" 89 0 5 84 0
"845" 89 0 4 85 0
